Site,plot,grid,pH,collection_temp_C,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date,flag
TEMPEST,Freshwater,F4,5.55,18.6,2023-06-07T12:40:00Z,20230607,840,EDT,2023-06-07,NA
TEMPEST,Freshwater,F4,5.55,18.6,2023-06-07T12:40:00Z,20230607,840,EDT,2023-06-06,NA
TEMPEST,Freshwater,H3,5.49,18.9,2023-06-07T12:27:00Z,20230607,827,EDT,2023-06-07,NA
TEMPEST,Freshwater,H3,5.49,18.9,2023-06-07T12:27:00Z,20230607,827,EDT,2023-06-06,NA
TEMPEST,Freshwater,H6,5.91,18.6,2023-06-07T12:15:00Z,20230607,815,EDT,2023-06-07,NA
TEMPEST,Freshwater,H6,5.91,18.6,2023-06-07T12:15:00Z,20230607,815,EDT,2023-06-06,NA
TEMPEST,Freshwater,D5,5.52,19.1,2023-06-07T13:21:00Z,20230607,921,EDT,2023-06-07,NA
TEMPEST,Freshwater,D5,5.52,19.1,2023-06-07T13:21:00Z,20230607,921,EDT,2023-06-06,NA
TEMPEST,Freshwater,I5,6.01,17.8,2023-06-07T12:01:00Z,20230607,801,EDT,2023-06-07,NA
TEMPEST,Freshwater,I5,6.01,17.8,2023-06-07T12:01:00Z,20230607,801,EDT,2023-06-06,NA
TEMPEST,Saltwater,C3,4.33,19,2023-06-07T12:51:00Z,20230607,851,EDT,2023-06-07,NA
TEMPEST,Saltwater,C3,4.33,19,2023-06-07T12:51:00Z,20230607,851,EDT,2023-06-06,NA
TEMPEST,Saltwater,B4,4.81,18.8,2023-06-07T13:02:00Z,20230607,902,EDT,2023-06-07,NA
TEMPEST,Saltwater,B4,4.81,18.8,2023-06-07T13:02:00Z,20230607,902,EDT,2023-06-06,NA
TEMPEST,Saltwater,D5,4.54,18.8,2023-06-07T13:25:00Z,20230607,925,EDT,2023-06-07,NA
TEMPEST,Saltwater,D5,4.54,18.8,2023-06-07T13:25:00Z,20230607,925,EDT,2023-06-06,NA
TEMPEST,Saltwater,E3,4.74,18.5,2023-06-07T12:32:00Z,20230607,832,EDT,2023-06-07,NA
TEMPEST,Saltwater,E3,4.74,18.5,2023-06-07T12:32:00Z,20230607,832,EDT,2023-06-06,NA
TEMPEST,Saltwater,I5,3.94,18.5,2023-06-07T11:58:00Z,20230607,758,EDT,2023-06-07,NA
TEMPEST,Saltwater,I5,3.94,18.5,2023-06-07T11:58:00Z,20230607,758,EDT,2023-06-06,NA
TEMPEST,Freshwater,C3,6.03,20.7,2023-06-07T21:34:00Z,20230607,1734,EDT,2023-06-07,NA
TEMPEST,Freshwater,C3,6.03,20.7,2023-06-07T21:34:00Z,20230607,1734,EDT,2023-06-06,NA
TEMPEST,Freshwater,F4,5.83,20.8,2023-06-07T21:54:00Z,20230607,1754,EDT,2023-06-07,NA
TEMPEST,Freshwater,F4,5.83,20.8,2023-06-07T21:54:00Z,20230607,1754,EDT,2023-06-06,NA
TEMPEST,Freshwater,H3,5.66,22.4,2023-06-07T20:54:00Z,20230607,1654,EDT,2023-06-07,NA
TEMPEST,Freshwater,H3,5.66,22.4,2023-06-07T20:54:00Z,20230607,1654,EDT,2023-06-06,NA
TEMPEST,Freshwater,H6,6.3,22.5,2023-06-07T20:43:00Z,20230607,1643,EDT,2023-06-07,NA
TEMPEST,Freshwater,H6,6.3,22.5,2023-06-07T20:43:00Z,20230607,1643,EDT,2023-06-06,NA
TEMPEST,Freshwater,D5,5.56,20.3,2023-06-07T22:05:00Z,20230607,1805,EDT,2023-06-07,NA
TEMPEST,Freshwater,D5,5.56,20.3,2023-06-07T22:05:00Z,20230607,1805,EDT,2023-06-06,NA
TEMPEST,Freshwater,I5,6.25,21.4,2023-06-07T21:04:00Z,20230607,1704,EDT,2023-06-07,NA
TEMPEST,Freshwater,I5,6.25,21.4,2023-06-07T21:04:00Z,20230607,1704,EDT,2023-06-06,NA
TEMPEST,Saltwater,C3,4.32,24.2,2023-06-07T21:33:00Z,20230607,1733,EDT,2023-06-07,NA
TEMPEST,Saltwater,C3,4.32,24.2,2023-06-07T21:33:00Z,20230607,1733,EDT,2023-06-06,NA
TEMPEST,Saltwater,H3,4.59,22.4,2023-06-07T20:51:00Z,20230607,1651,EDT,2023-06-07,NA
TEMPEST,Saltwater,H3,4.59,22.4,2023-06-07T20:51:00Z,20230607,1651,EDT,2023-06-06,NA
TEMPEST,Saltwater,B4,4.66,22.4,2023-06-07T21:23:00Z,20230607,1723,EDT,2023-06-07,NA
TEMPEST,Saltwater,B4,4.66,22.4,2023-06-07T21:23:00Z,20230607,1723,EDT,2023-06-06,NA
TEMPEST,Saltwater,E3,4.6,22.1,2023-06-07T21:03:00Z,20230607,1703,EDT,2023-06-07,NA
TEMPEST,Saltwater,E3,4.6,22.1,2023-06-07T21:03:00Z,20230607,1703,EDT,2023-06-06,NA
TEMPEST,Freshwater,C3,5.68,19.8,2023-06-08T20:13:00Z,20230608,1613,EDT,2023-06-07,NA
TEMPEST,Freshwater,F4,6,20,2023-06-08T20:32:00Z,20230608,1632,EDT,2023-06-07,NA
TEMPEST,Freshwater,H6,6.23,20.8,2023-06-08T19:43:00Z,20230608,1543,EDT,2023-06-07,NA
TEMPEST,Freshwater,D5,5.61,19.3,2023-06-08T19:55:00Z,20230608,1555,EDT,2023-06-07,NA
TEMPEST,Freshwater,E3,5.82,20.8,2023-06-08T20:24:00Z,20230608,1624,EDT,2023-06-07,NA
TEMPEST,Freshwater,I5,6.05,21.3,2023-06-08T19:28:00Z,20230608,1528,EDT,2023-06-07,NA
TEMPEST,Saltwater,C3,4.53,21,2023-06-08T18:05:00Z,20230608,1405,EDT,2023-06-07,NA
TEMPEST,Saltwater,B4,5.11,21.6,2023-06-08T18:15:00Z,20230608,1415,EDT,2023-06-07,NA
TEMPEST,Saltwater,D5,4.62,21.8,2023-06-08T18:35:00Z,20230608,1435,EDT,2023-06-07,NA
TEMPEST,Saltwater,E3,4.91,20.6,2023-06-08T17:30:00Z,20230608,1330,EDT,2023-06-07,NA
TEMPEST,Saltwater,F6,5.11,21.8,2023-06-08T17:19:00Z,20230608,1319,EDT,2023-06-07,NA
TEMPEST,Freshwater,D5,5.97,22.8,2023-06-12T13:44:00Z,20230612,944,EDT,2023-06-08,NA
TEMPEST,Freshwater,I5,6.56,21.9,2023-06-12T14:09:00Z,20230612,1009,EDT,2023-06-08,NA
TEMPEST,Saltwater,B4,5.42,23,2023-06-12T13:35:00Z,20230612,935,EDT,2023-06-08,NA
TEMPEST,Control,H3,6.58,20.9,2023-06-14T15:00:00Z,20230614,1100,EDT,2023-06-12,NA
TEMPEST,Control,F6,6.11,20.4,2023-06-14T15:40:00Z,20230614,1140,EDT,2023-06-12,NA
TEMPEST,Control,I5,6.15,20.6,2023-06-14T15:27:00Z,20230614,1127,EDT,2023-06-12,NA
TEMPEST,Freshwater,C3,6.45,21.1,2023-06-14T19:02:00Z,20230614,1502,EDT,2023-06-12,NA
TEMPEST,Freshwater,B4,6.29,21.6,2023-06-14T18:58:00Z,20230614,1458,EDT,2023-06-12,NA
TEMPEST,Freshwater,D5,6.3,21.3,2023-06-14T19:13:00Z,20230614,1513,EDT,2023-06-12,NA
TEMPEST,Freshwater,I5,6.75,21.2,2023-06-14T19:36:00Z,20230614,1536,EDT,2023-06-12,NA
TEMPEST,Saltwater,C3,4.78,19.3,2023-06-14T16:01:00Z,20230614,1201,EDT,2023-06-12,NA
TEMPEST,Saltwater,F4,6.1,20.7,2023-06-14T16:52:00Z,20230614,1252,EDT,2023-06-12,NA
TEMPEST,Saltwater,B4,5.32,20.5,2023-06-14T16:14:00Z,20230614,1214,EDT,2023-06-12,NA
TEMPEST,Saltwater,D5,5.08,20.9,2023-06-14T16:28:00Z,20230614,1228,EDT,2023-06-12,NA
TEMPEST,Saltwater,E3,5.4,19.9,2023-06-14T16:57:00Z,20230614,1257,EDT,2023-06-12,NA
TEMPEST,Saltwater,F6,5.39,19.9,2023-06-14T16:42:00Z,20230614,1242,EDT,2023-06-12,NA
TEMPEST,Control,H6,6.99,25.3,2023-06-17T14:20:00Z,20230617,1020,EDT,2023-06-14,NA
TEMPEST,Freshwater,C3,6.68,23.2,2023-06-17T15:56:00Z,20230617,1156,EDT,2023-06-14,NA
TEMPEST,Freshwater,H6,6.9,23.3,2023-06-17T16:34:00Z,20230617,1234,EDT,2023-06-14,NA
TEMPEST,Freshwater,I5,6.89,23.4,2023-06-17T16:25:00Z,20230617,1225,EDT,2023-06-14,NA
TEMPEST,Saltwater,C3,4.77,24.5,2023-06-17T14:48:00Z,20230617,1048,EDT,2023-06-14,NA
TEMPEST,Saltwater,B4,5.33,25.9,2023-06-17T15:33:00Z,20230617,1133,EDT,2023-06-14,NA
TEMPEST,Saltwater,D5,5.26,21.2,2023-06-17T15:22:00Z,20230617,1122,EDT,2023-06-14,NA
TEMPEST,Saltwater,E3,5.11,24.2,2023-06-17T14:57:00Z,20230617,1057,EDT,2023-06-14,NA
TEMPEST,Freshwater,C3,6.47,23.7,2023-06-27T16:11:00Z,20230627,1211,EDT,2023-06-23,NA
TEMPEST,Freshwater,F4,6.55,23.5,2023-06-27T15:17:00Z,20230627,1117,EDT,2023-06-23,NA
TEMPEST,Freshwater,H3,6.61,23.3,2023-06-27T15:08:00Z,20230627,1108,EDT,2023-06-23,NA
TEMPEST,Freshwater,H6,6.9,25,2023-06-27T14:46:00Z,20230627,1046,EDT,2023-06-23,NA
TEMPEST,Freshwater,B4,6.35,24.1,2023-06-27T16:02:00Z,20230627,1202,EDT,2023-06-23,NA
TEMPEST,Freshwater,D5,6.27,23.8,2023-06-27T15:49:00Z,20230627,1149,EDT,2023-06-23,NA
TEMPEST,Freshwater,E3,6.44,23.6,2023-06-27T15:30:00Z,20230627,1130,EDT,2023-06-23,NA
TEMPEST,Freshwater,F6,6.47,23.9,2023-06-27T15:40:00Z,20230627,1140,EDT,2023-06-23,NA
TEMPEST,Freshwater,I5,6.92,23.6,2023-06-27T14:54:00Z,20230627,1054,EDT,2023-06-23,NA
TEMPEST,Saltwater,C3,5.15,24.7,2023-06-27T18:42:00Z,20230627,1442,EDT,2023-06-23,NA
TEMPEST,Saltwater,C6,5.75,24.1,2023-06-27T18:21:00Z,20230627,1421,EDT,2023-06-23,NA
TEMPEST,Saltwater,F4,6.22,24.3,2023-06-27T17:55:00Z,20230627,1355,EDT,2023-06-23,NA
TEMPEST,Saltwater,H3,5.92,24.3,2023-06-27T17:29:00Z,20230627,1329,EDT,2023-06-23,NA
TEMPEST,Saltwater,H6,5.93,24.5,2023-06-27T17:17:00Z,20230627,1317,EDT,2023-06-23,NA
TEMPEST,Saltwater,B4,5.62,25,2023-06-27T18:31:00Z,20230627,1431,EDT,2023-06-23,NA
TEMPEST,Saltwater,D5,5.48,24.3,2023-06-27T18:12:00Z,20230627,1412,EDT,2023-06-23,NA
TEMPEST,Saltwater,E3,5.61,24.3,2023-06-27T17:39:00Z,20230627,1339,EDT,2023-06-23,NA
TEMPEST,Saltwater,F6,5.62,24.2,2023-06-27T18:02:00Z,20230627,1402,EDT,2023-06-23,NA
TEMPEST,Saltwater,I5,4.79,25,2023-06-27T17:05:00Z,20230627,1305,EDT,2023-06-23,NA
TEMPEST,Control,C3,6.23,24.6,2023-06-28T19:43:00Z,20230628,1543,EDT,2023-06-23,NA
TEMPEST,Control,C6,6.34,23.9,2023-06-28T19:24:00Z,20230628,1524,EDT,2023-06-23,NA
TEMPEST,Control,H6,6.28,23.1,2023-06-28T18:54:00Z,20230628,1454,EDT,2023-06-23,NA
TEMPEST,Control,D5,5.98,23.8,2023-06-28T19:12:00Z,20230628,1512,EDT,2023-06-23,NA
TEMPEST,Control,E3,6.39,23.7,2023-06-28T19:48:00Z,20230628,1548,EDT,2023-06-23,NA
TEMPEST,Control,I5,6.04,23.5,2023-06-28T18:40:00Z,20230628,1440,EDT,2023-06-23,NA
TEMPEST,Control,C6,6.55,27.7,2023-07-07T15:13:00Z,20230707,1113,EDT,2023-07-05,NA
TEMPEST,Control,H6,6.13,28.9,2023-07-07T15:34:00Z,20230707,1134,EDT,2023-07-05,NA
TEMPEST,Freshwater,C3,6.57,26.6,2023-07-07T14:09:00Z,20230707,1009,EDT,2023-07-05,NA
TEMPEST,Freshwater,F4,6.68,26.8,2023-07-07T13:44:00Z,20230707,944,EDT,2023-07-05,NA
TEMPEST,Freshwater,H6,6.79,26.7,2023-07-07T13:32:00Z,20230707,932,EDT,2023-07-05,NA
TEMPEST,Freshwater,D5,6.45,27,2023-07-07T13:58:00Z,20230707,958,EDT,2023-07-05,NA
TEMPEST,Freshwater,I5,6.88,26.3,2023-07-07T13:20:00Z,20230707,920,EDT,2023-07-05,NA
TEMPEST,Saltwater,C3,4.98,26.3,2023-07-07T14:31:00Z,20230707,1031,EDT,2023-07-05,NA
TEMPEST,Saltwater,B4,5.6,26.9,2023-07-07T14:20:00Z,20230707,1020,EDT,2023-07-05,NA
TEMPEST,Saltwater,D5,5.65,27.1,2023-07-07T14:45:00Z,20230707,1045,EDT,2023-07-05,NA
TEMPEST,Saltwater,F6,5.53,25.8,2023-07-07T14:50:00Z,20230707,1050,EDT,2023-07-05,NA
TEMPEST,Control,C6,6.65,25.3,2023-07-10T16:40:00Z,20230710,1240,EDT,2023-07-07,NA
TEMPEST,Control,H6,6.53,26.9,2023-07-10T16:55:00Z,20230710,1255,EDT,2023-07-07,NA
TEMPEST,Control,I5,6.48,25.5,2023-07-10T17:10:00Z,20230710,1310,EDT,2023-07-07,NA
TEMPEST,Saltwater,C3,5.09,23.3,2023-07-10T15:56:00Z,20230710,1156,EDT,2023-07-07,NA
TEMPEST,Saltwater,B4,5.53,24,2023-07-10T15:58:00Z,20230710,1158,EDT,2023-07-07,NA
TEMPEST,Control,C6,6.37,26.1,2023-08-07T15:15:00Z,20230807,1115,EDT,2023-08-04,NA
TEMPEST,Control,H6,6.12,25.9,2023-08-07T15:49:00Z,20230807,1149,EDT,2023-08-04,NA
TEMPEST,Control,D5,6.44,26.5,2023-08-07T15:27:00Z,20230807,1127,EDT,2023-08-04,NA
TEMPEST,Control,E3,6.14,27.1,2023-08-07T15:40:00Z,20230807,1140,EDT,2023-08-04,NA
TEMPEST,Freshwater,C6,5.78,24.5,2023-08-07T13:31:00Z,20230807,931,EDT,2023-08-04,NA
TEMPEST,Freshwater,F4,6.03,24.7,2023-08-07T13:04:00Z,20230807,904,EDT,2023-08-04,NA
TEMPEST,Freshwater,H3,6.21,24.9,2023-08-07T12:58:00Z,20230807,858,EDT,2023-08-04,NA
TEMPEST,Freshwater,D5,5.91,24.7,2023-08-07T13:20:00Z,20230807,920,EDT,2023-08-04,NA
TEMPEST,Freshwater,I5,6.26,24.3,2023-08-07T12:45:00Z,20230807,845,EDT,2023-08-04,NA
TEMPEST,Saltwater,F4,6.28,25.3,2023-08-07T14:32:00Z,20230807,1032,EDT,2023-08-04,NA
TEMPEST,Saltwater,B4,5.72,25.6,2023-08-07T14:58:00Z,20230807,1058,EDT,2023-08-04,NA
TEMPEST,Saltwater,D5,5.9,24.9,2023-08-07T14:44:00Z,20230807,1044,EDT,2023-08-04,NA
TEMPEST,Saltwater,E3,5.6,24.7,2023-08-07T14:25:00Z,20230807,1025,EDT,2023-08-04,NA
TEMPEST,Saltwater,F6,5.62,25.1,2023-08-07T14:37:00Z,20230807,1037,EDT,2023-08-04,NA
TEMPEST,Control,C6,7.16,24.1,2023-08-10T14:53:00Z,20230810,1053,EDT,2023-08-07,NA
TEMPEST,Control,F4,7.15,24,2023-08-10T14:27:00Z,20230810,1027,EDT,2023-08-07,NA
TEMPEST,Control,H3,7.13,23.4,2023-08-10T13:47:00Z,20230810,947,EDT,2023-08-07,NA
TEMPEST,Control,H6,7.08,23.5,2023-08-10T14:08:00Z,20230810,1008,EDT,2023-08-07,NA
TEMPEST,Control,B4,7.1,25,2023-08-10T15:01:00Z,20230810,1101,EDT,2023-08-07,NA
TEMPEST,Control,E3,7.12,24.2,2023-08-10T14:36:00Z,20230810,1036,EDT,2023-08-07,NA
TEMPEST,Control,F6,7.08,24.2,2023-08-10T14:17:00Z,20230810,1017,EDT,2023-08-07,NA
TEMPEST,Control,I5,6.9,23.6,2023-08-10T13:57:00Z,20230810,957,EDT,2023-08-07,NA
TEMPEST,Freshwater,H3,6.9,23.7,2023-08-10T17:22:00Z,20230810,1322,EDT,2023-08-07,NA
TEMPEST,Freshwater,B4,6.87,23.8,2023-08-10T17:34:00Z,20230810,1334,EDT,2023-08-07,NA
TEMPEST,Freshwater,F6,6.97,24,2023-08-10T17:07:00Z,20230810,1307,EDT,2023-08-07,NA
TEMPEST,Saltwater,C6,6.97,24.2,2023-08-10T15:31:00Z,20230810,1131,EDT,2023-08-07,NA
TEMPEST,Saltwater,F4,7.02,23.9,2023-08-10T15:53:00Z,20230810,1153,EDT,2023-08-07,NA
TEMPEST,Saltwater,H3,7.28,24.2,2023-08-10T16:03:00Z,20230810,1203,EDT,2023-08-07,NA
TEMPEST,Saltwater,H6,6.94,24,2023-08-10T16:26:00Z,20230810,1226,EDT,2023-08-07,NA
TEMPEST,Saltwater,B4,6.86,24.5,2023-08-10T15:20:00Z,20230810,1120,EDT,2023-08-07,NA
TEMPEST,Saltwater,E3,6.84,23.8,2023-08-10T15:42:00Z,20230810,1142,EDT,2023-08-07,NA
TEMPEST,Saltwater,I5,6.73,24.2,2023-08-10T16:14:00Z,20230810,1214,EDT,2023-08-07,NA
TEMPEST,Control,H3,6.89,22.3,2023-10-02T16:12:00Z,20231002,1212,EDT,2023-09-29,NA
TEMPEST,Control,I5,6.85,22.5,2023-10-02T16:18:00Z,20231002,1218,EDT,2023-09-29,NA
TEMPEST,Freshwater,C6,7.93,20.7,2023-10-02T14:24:00Z,20231002,1024,EDT,2023-09-29,NA
TEMPEST,Freshwater,H3,7.95,20.5,2023-10-02T13:51:00Z,20231002,951,EDT,2023-09-29,NA
TEMPEST,Freshwater,B4,7.78,21.1,2023-10-02T14:32:00Z,20231002,1032,EDT,2023-09-29,NA
TEMPEST,Saltwater,C3,5.5,21.2,2023-10-02T15:38:00Z,20231002,1138,EDT,2023-09-29,NA
TEMPEST,Saltwater,F4,7.18,21.2,2023-10-02T15:07:00Z,20231002,1107,EDT,2023-09-29,NA
TEMPEST,Saltwater,H3,7.61,21.3,2023-10-02T14:55:00Z,20231002,1055,EDT,2023-09-29,NA
TEMPEST,Saltwater,H6,6.93,23.1,2023-10-05T15:32:00Z,20231005,1132,EDT,2023-10-02,NA
TEMPEST,Saltwater,F6,6.54,20.8,2023-10-05T15:25:00Z,20231005,1125,EDT,2023-10-02,NA
TEMPEST,Saltwater,B4,7.11,17.7,2023-11-16T16:34:00Z,20231116,1134,EDT,2023-11-13,NA
TEMPEST,Control,C6,8.08,10.8,2023-12-08T15:15:00Z,20231208,1015,EDT,2023-12-05,NA
TEMPEST,Control,I5,8.76,11.1,2023-12-08T14:49:00Z,20231208,949,EDT,2023-12-05,NA
TEMPEST,Freshwater,H3,7.16,10.8,2023-12-08T16:48:00Z,20231208,1148,EDT,2023-12-05,NA
TEMPEST,Freshwater,H6,6.95,11.4,2023-12-08T17:04:00Z,20231208,1204,EDT,2023-12-05,NA
TEMPEST,Freshwater,D5,7.46,12.2,2023-12-08T16:26:00Z,20231208,1126,EDT,2023-12-05,NA
TEMPEST,Freshwater,E3,6.81,11.8,2023-12-08T16:37:00Z,20231208,1137,EDT,2023-12-05,NA
TEMPEST,Freshwater,I5,6.81,11.1,2023-12-08T16:56:00Z,20231208,1156,EDT,2023-12-05,NA
TEMPEST,Saltwater,C6,8.11,11.3,2023-12-08T15:39:00Z,20231208,1039,EDT,2023-12-05,NA
TEMPEST,Saltwater,B4,7.79,11.5,2023-12-08T15:31:00Z,20231208,1031,EDT,2023-12-05,NA
TEMPEST,Saltwater,F6,7.4,10.9,2023-12-08T15:49:00Z,20231208,1049,EDT,2023-12-05,NA
TEMPEST,Control,F4,7.49,9.7,2023-12-11T15:18:00Z,20231211,1018,EDT,2023-12-08,NA
TEMPEST,Control,H3,7.8,10.6,2023-12-11T15:06:00Z,20231211,1006,EDT,2023-12-08,NA
TEMPEST,Control,H6,7.37,9.1,2023-12-11T15:23:00Z,20231211,1023,EDT,2023-12-08,NA
TEMPEST,Control,D5,7.24,9,2023-12-11T15:39:00Z,20231211,1039,EDT,2023-12-08,NA
TEMPEST,Freshwater,C6,7.46,8.9,2023-12-11T18:00:00Z,20231211,1300,EDT,2023-12-08,NA
TEMPEST,Freshwater,F4,7.52,8.8,2023-12-11T18:18:00Z,20231211,1318,EDT,2023-12-08,NA
TEMPEST,Freshwater,F6,7.88,8.4,2023-12-11T18:30:00Z,20231211,1330,EDT,2023-12-08,NA
TEMPEST,Saltwater,F4,7.29,9,2023-12-11T17:08:00Z,20231211,1208,EDT,2023-12-08,NA
TEMPEST,Saltwater,H6,7.45,9.1,2023-12-11T17:17:00Z,20231211,1217,EDT,2023-12-08,NA
