"","Project","Sample_ID","Number_on_vial","Volume_mL","Collection_Date_YYYYMMDD","Evacuation_date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","H2S_Conc_uM","H2S_Conc_sd","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Field_notes","Run_notes"
"20","TEMPEST","TMP_FW_PW_H6_50cm_SO4_20260604_Pre","22",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","Spk_Bad,MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"21","TEMPEST","TMP_C_PW_C6_50cm_SO4_20260604_Pre","1",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","Spk_Bad,MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"22","TEMPEST","TMP_SW_PW_F4_30cm_SO4_20260604_Pre","9",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","Spk_Bad,MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"23","TEMPEST","TMP_SW_PW_C6_30cm_SO4_20260607_D1_PM","23",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","Spk_Bad,MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"24","TEMPEST","TMP_FW_RO_SO4_20260610_D4_T2","209",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"25","TEMPEST","TMP_SW_PW_D5_15cm_SO4_20260611_D5_AM","217",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"26","TEMPEST","TMP_SW_PW_H3_15cm_SO4_20260611_D5_AM","223",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"27","TEMPEST","TMP_SW_PW_B4_15cm_SO4_20260611_D5_AM","210",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"28","TEMPEST","TMP_SW_PW_E3_15cm_SO4_20260611_D5_AM","218",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"29","TEMPEST","TMP_SW_PW_H3_30cm_SO4_20260611_D5_AM","224",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"30","TEMPEST","TMP_SW_PW_C3_15cm_SO4_20260611_D5_AM","211",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"31","TEMPEST","TMP_SW_PW_F4_15cm_SO4_20260611_D5_AM","219",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"32","TEMPEST","TMP_SW_PW_H3_50cm_SO4_20260611_D5_AM","225",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"33","TEMPEST","TMP_SW_PW_C3_30cm_SO4_20260611_D5_AM","212",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"34","TEMPEST","TMP_SW_PW_F4_30cm_SO4_20260611_D5_AM","220",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"35","TEMPEST","TMP_SW_PW_H6_15cm_SO4_20260611_D5_AM","226",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"36","TEMPEST","TMP_SW_PW_C3_50cm_SO4_20260611_D5_AM","213",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"37","TEMPEST","TMP_SW_PW_F4_50cm_SO4_20260611_D5_AM","221",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"38","TEMPEST","TMP_SW_PW_H6_30cm_SO4_20260611_D5_AM","227",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"39","TEMPEST","TMP_SW_PW_C6_15cm_SO4_20260611_D5_AM","214",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"40","TEMPEST","TMP_SW_PW_H6_50cm_SO4_20260611_D5_AM","228",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"41","TEMPEST","TMP_SW_PW_C6_30cm_SO4_20260611_D5_AM","215",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"42","TEMPEST","TMP_SW_PW_F6_15cm_SO4_20260611_D5_AM","222",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"43","TEMPEST","TMP_SW_PW_I5_15cm_SO4_20260611_D5_AM","229",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"44","TEMPEST","TMP_SW_RO_SO4_20260610_D4_T2","208",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"45","TEMPEST","TMP_SW_PW_C6_50cm_SO4_20260611_D5_AM","216",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"46","TEMPEST","TMP_FW_PW_B4_15cm_SO4_20260611_D5_AM","230",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","MC: 10ppt S5 Chk_Bad",1,2026-06-16,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"47","TEMPEST","TMP_FW_PW_C3_30cm_SO4_20260611_D5_AM","232",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"48","TEMPEST","TMP_FW_PW_F4_30cm_SO4_20260611_D5_AM","240",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"49","TEMPEST","TMP_FW_PW_H6_30cm_SO4_20260611_D5_AM","246",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"50","TEMPEST","TMP_FW_PW_C3_50cm_SO4_20260611_D5_AM","233",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"51","TEMPEST","TMP_FW_PW_F4_50cm_SO4_20260611_D5_AM","241",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"52","TEMPEST","TMP_FW_PW_H6_50cm_SO4_20260611_D5_AM","247",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"53","TEMPEST","TMP_FW_PW_C6_15cm_SO4_20260611_D5_AM","234",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"54","TEMPEST","TMP_FW_PW_H3_15cm_SO4_20260611_D5_AM","242",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"55","TEMPEST","TMP_FW_PW_I5_15cm_SO4_20260611_D5_AM","248",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"56","TEMPEST","TMP_FW_PW_C6_30cm_SO4_20260611_D5_AM","235",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"57","TEMPEST","TMP_FW_PW_H3_30cm_SO4_20260611_D5_AM","243",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"58","TEMPEST","TMP_SW_SCE_SO4_20260611_D5_AM","249",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"59","TEMPEST","TMP_FW_PW_C6_50cm_SO4_20260611_D5_AM","236",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"60","TEMPEST","TMP_FW_PW_H3_50cm_SO4_20260611_D5_AM","244",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"61","TEMPEST","TMP_FW_SCE_SO4_20260611_D5_AM","250",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"62","TEMPEST","TMP_FW_PW_D5_15cm_SO4_20260611_D5_AM","237",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"63","TEMPEST","TMP_EST_SCE_SO4_20260611_D5_LT","251",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"64","TEMPEST","TMP_FW_PW_E3_15cm_SO4_20260611_D5_AM","238",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"65","TEMPEST","TMP_FW_PW_H6_15cm_SO4_20260611_D5_AM","245",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"66","TEMPEST","TMP_SW_RO_SO4_20260611_D5_T1","252",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"67","TEMPEST","TMP_FW_PW_C3_15cm_SO4_20260611_D5_AM","231",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"68","TEMPEST","TMP_FW_PW_F4_15cm_SO4_20260611_D5_AM","239",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"69","TEMPEST","TMP_FW_RO_SO4_20260611_D5_T1","253",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"70","TEMPEST","TMP_SW_PW_B4_15cm_SO4_20260611_D5_PM","255",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"71","TEMPEST","TMP_SW_PW_E3_15cm_SO4_20260611_D5_PM","263",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"72","TEMPEST","TMP_SW_PW_H3_50cm_SO4_20260611_D5_PM","269",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"73","TEMPEST","TMP_SW_PW_C3_15cm_SO4_20260611_D5_PM","256",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"74","TEMPEST","TMP_SW_PW_F4_15cm_SO4_20260611_D5_PM","264",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"75","TEMPEST","TMP_SW_PW_H6_15cm_SO4_20260611_D5_PM","270",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"76","TEMPEST","TMP_SW_PW_C3_30cm_SO4_20260611_D5_PM","257",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"77","TEMPEST","TMP_SW_PW_F4_30cm_SO4_20260611_D5_PM","265",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"78","TEMPEST","TMP_SW_PW_H6_30cm_SO4_20260611_D5_PM","271",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"79","TEMPEST","TMP_SW_PW_C3_50cm_SO4_20260611_D5_PM","258",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"80","TEMPEST","TMP_SW_PW_F4_50cm_SO4_20260611_D5_PM","266",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"81","TEMPEST","TMP_SW_PW_H6_50cm_SO4_20260611_D5_PM","272",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"82","TEMPEST","TMP_SW_PW_C6_15cm_SO4_20260611_D5_PM","259",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"83","TEMPEST","TMP_SW_PW_H3_15cm_SO4_20260611_D5_PM","267",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"84","TEMPEST","TMP_SW_PW_I5_15cm_SO4_20260611_D5_PM","273",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"85","TEMPEST","TMP_SW_PW_C6_30cm_SO4_20260611_D5_PM","260",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"86","TEMPEST","TMP_FW_PW_B4_15cm_SO4_20260611_D5_PM","274",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"87","TEMPEST","TMP_SW_PW_C6_50cm_SO4_20260611_D5_PM","261",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"88","TEMPEST","TMP_SW_PW_H3_30cm_SO4_20260611_D5_PM","268",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"89","TEMPEST","TMP_FW_PW_C3_15cm_SO4_20260611_D5_PM","275",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"90","TEMPEST","TMP_C_PW_C6_50cm_SO4_20260611_D5_PM","254",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"91","TEMPEST","TMP_SW_PW_D5_15cm_SO4_20260611_D5_PM","262",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"92","TEMPEST","TMP_FW_PW_C3_30cm_SO4_20260611_D5_PM","276",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"93","TEMPEST","TMP_FW_PW_C6_15cm_SO4_20260611_D5_PM","278",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"94","TEMPEST","TMP_FW_PW_F6_15cm_SO4_20260611_D5_PM","286",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"95","TEMPEST","TMP_FW_PW_H6_50cm_SO4_20260611_D5_PM","292",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"96","TEMPEST","TMP_FW_PW_C6_30cm_SO4_20260611_D5_PM","279",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"97","TEMPEST","TMP_FW_PW_H3_15cm_SO4_20260611_D5_PM","287",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"98","TEMPEST","TMP_FW_PW_I5_15cm_SO4_20260611_D5_PM","293",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"99","TEMPEST","TMP_FW_PW_C6_50cm_SO4_20260611_D5_PM","280",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"100","TEMPEST","TMP_FW_PW_H3_30cm_SO4_20260611_D5_PM","288",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"101","TEMPEST","TMP_SW_SCE_SO4_20260611_D5_PM","294",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"102","TEMPEST","TMP_FW_PW_D5_15cm_SO4_20260611_D5_PM","281",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"103","TEMPEST","TMP_FW_PW_H3_50cm_SO4_20260611_D5_PM","289",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"104","TEMPEST","TMP_FW_SCE_SO4_20260611_D5_PM","295",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"105","TEMPEST","TMP_FW_PW_E3_15cm_SO4_20260611_D5_PM","282",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"106","TEMPEST","TMP_FW_PW_H6_15cm_SO4_20260611_D5_PM","290",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
"107","TEMPEST","TMP_EST_SCE_SO4_20260611_D5_HT","296",NA,NA,NA,NA,NA,NA,0,0,0,"bdl","CV_Good","",1,2026-06-17,NA,"All dups and related samples had values of 0. 
11/16 spikes were good."
