"Project","Sample_ID","Zone","Grid","Depth_cm","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","H2S_mean","H2S_sd","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Field_notes","Run_notes"
"TMP","TMP_C_PW_D5_20250131_15CM","C","D5","15cm","PW",5,20250131,20250128,1230,1227,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_D5_20250204_15CM","C","D5","15cm","PW",5,20250204,20250131,1227,1115,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_D5_20250602_15CM","C","D5","15cm","PW",5,20250602,20250530,1328,1620,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_E3_20250131_15CM","C","E3","15cm","PW",5,20250131,20250128,1222,1126,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_E3_20250204_15CM","C","E3","15cm","PW",5,20250204,20250131,1126,1033,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_E3_20250711_15CM","C","E3","15cm","PW",5,20250711,20250708,1330,1208,0,0,0,"bdl","Within Range","MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_F4_20250204_15CM","C","F4","15cm","PW",5,20250204,20250131,1123,1026,1.35242439876625,0.202838693410816,14.9981539519588,"Within Range","High CV","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_F4_20250403_15CM","C","F4","15cm","PW",5,20250403,20250331,1340,1415,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_F4_20250509_15CM","C","F4","15cm","PW",5,20250509,20250506,857,1345,0,0,0,"bdl","Within Range","",1,"20250926","sub-sampled at 1418","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_F4_20250602_15CM","C","F4","15cm","PW",5,20250602,20250530,1339,1634,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_F6_20250204_15CM","C","F6","15cm","PW",5,20250204,20250131,1121,1019,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926","light color","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_F6_20250403_15CM","C","F6","15cm","PW",5,20250403,20250331,1458,1407,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_F6_20250602_15CM","C","F6","15cm","PW",5,20250602,20250530,1331,1624,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_F6_20250711_15CM","C","F6","15cm","PW",5,20250711,20250708,1340,1205,0,0,0,"bdl","Within Range","MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H3_20250131_15CM","C","H3","15cm","PW",5,20250131,20250128,1207,1051,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H3_20250204_15CM","C","H3","15cm","PW",5,20250204,20250131,1051,941,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H3_20250509_15CM","C","H3","15cm","PW",5,20250509,20250506,731,1325,0,0,0,"bdl","Within Range","",1,"20250926","sub-sampled at 1401","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H3_20250602_15CM","C","H3","15cm","PW",5,20250602,20250530,1342,1643,0.444043166646813,0.405677386821631,91.3598986074033,"Within Range","High CV","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H3_20250711_15CM","C","H3","15cm","PW",5,20250711,20250708,1038,1215,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H6_20250131_15CM","C","H6","15cm","PW",5,20250131,20250128,1215,1113,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H6_20250204_15CM","C","H6","15cm","PW",5,20250204,20250131,1113,1006,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H6_20250403_15CM","C","H6","15cm","PW",5,20250403,20250331,1338,1433,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H6_20250509_15CM","C","H6","15cm","PW",5,20250509,20250506,736,1331,0,0,0,"bdl","Within Range","",1,"20250926","sub-sampled at 1411","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H6_20250602_15CM","C","H6","15cm","PW",5,20250602,20250530,1349,1707,0.0307834291929974,0.0435343430610888,141.42135623731,"Within Range","High CV","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_H6_20250711_15CM","C","H6","15cm","PW",5,20250711,20250708,1048,1224,0,0,0,"bdl","Within Range","MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_I5_20250131_15CM","C","I5","15cm","PW",5,20250131,20250128,1212,1100,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_I5_20250204_15CM","C","I5","15cm","PW",5,20250204,20250131,1100,953,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_I5_20250403_15CM","C","I5","15cm","PW",5,20250403,20250331,1336,1424,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_I5_20250509_15CM","C","I5","15cm","PW",5,20250509,20250506,740,1327,0,0,0,"bdl","Within Range","",1,"20250926","sub-sampled at 1351","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_I5_20250602_15CM","C","I5","15cm","PW",5,20250602,20250530,1344,1656,0.0307834291929974,0.0435343430610888,141.42135623731,"Within Range","High CV","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_I5_20250711_15CM","C","I5","15cm","PW",5,20250711,20250708,1044,1236,0,0,0,"bdl","Within Range","MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_B4_20250204_15CM","FW","B4","15cm","PW",5,20250204,20250131,1412,1407,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_B4_20250509_15CM","FW","B4","15cm","PW",5,20250509,20250506,826,1026,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926","sub-sampled at 1125","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_B4_20250602_15CM","FW","B4","15cm","PW",5,20250602,20250530,1101,1159,1.87832932262488,0,0,"Within Range","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C3_20250131_15CM","FW","C3","15cm","PW",5,20250131,20250128,1322,1414,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925","sub-sampled in lab at 1545","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C3_20250204_15CM","FW","C3","15cm","PW",5,20250204,20250131,1414,1417,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C3_20250403_15CM","FW","C3","15cm","PW",5,20250403,20250331,1435,1056,2.64328193914651,0.40567738682163,15.3474883179741,"Within Range","High CV","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C3_20250509_15CM","FW","C3","15cm","PW",5,20250509,20250506,828,1028,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926","sub-sampled at 1130","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C3_20250602_15CM","FW","C3","15cm","PW",5,20250602,20250530,1100,1147,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C3_20250711_15CM","FW","C3","15cm","PW",5,20250711,20250708,1303,1006,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C6_20250131_15CM","FW","C6","15cm","PW",5,20250131,20250128,1314,1405,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925","sub-sampled in lab at 1549","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C6_20250204_15CM","FW","C6","15cm","PW",5,20250204,20250131,1405,1358,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C6_20250403_15CM","FW","C6","15cm","PW",5,20250403,20250331,1429,1124,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C6_20250509_15CM","FW","C6","15cm","PW",5,20250509,20250506,824,1024,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926","sub-sampled at 1120","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C6_20250602_15CM","FW","C6","15cm","PW",5,20250602,20250530,1107,1221,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_C6_20250711_15CM","FW","C6","15cm","PW",5,20250711,20250708,1253,1015,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_D5_20250131_15CM","FW","D5","15cm","PW",5,20250131,20250128,1316,1408,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925","sub-sampled in lab at 1619","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_D5_20250204_15CM","FW","D5","15cm","PW",5,20250204,20250131,1408,1424,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_D5_20250403_15CM","FW","D5","15cm","PW",5,20250403,20250331,1431,1110,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_D5_20250509_15CM","FW","D5","15cm","PW",5,20250509,20250506,833,1022,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926","sub-sampled at 1055","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_D5_20250602_15CM","FW","D5","15cm","PW",5,20250602,20250530,1105,1210,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_D5_20250711_15CM","FW","D5","15cm","PW",5,20250711,20250708,1258,1027,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_E3_20250131_15CM","FW","E3","15cm","PW",5,20250131,20250128,1326,1416,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925","sub-sampled in lab at 1603","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_E3_20250204_15CM","FW","E3","15cm","PW",5,20250204,20250131,1416,1433,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_E3_20250403_15CM","FW","E3","15cm","PW",5,20250403,20250331,1438,1048,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_E3_20250602_15CM","FW","E3","15cm","PW",5,20250602,20250530,1058,1138,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_F4_20250131_15CM","FW","F4","15cm","PW",5,20250131,20250128,1330,1418,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925","sub-sampled in lab at 1558","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_F4_20250204_15CM","FW","F4","15cm","PW",5,20250204,20250131,1418,1444,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_F4_20250403_15CM","FW","F4","15cm","PW",5,20250403,20250331,1439,1028,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_F4_20250602_15CM","FW","F4","15cm","PW",5,20250602,20250530,1052,1102,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_F4_20250711_15CM","FW","F4","15cm","PW",5,20250711,20250708,1413,1053,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_F6_20250131_15CM","FW","F6","15cm","PW",5,20250131,20250128,1343,1433,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925","sub-sampled in lab at 1606","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_FW_PW_F6_20250204_15CM","FW","F6","15cm","PW",5,20250204,20250131,1433,1522,0,0,0,"bdl","Within Range","Spk recovery out of range",1,"20250925",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
